Time	Node	Type	Packets	
272	5	CacheMisses	2546
273	5	CacheHits	1518
273	5	CacheMisses	2546
274	5	CacheHits	1516
274	5	CacheMisses	2546
275	5	CacheHits	1518
275	5	CacheMisses	2546
276	5	CacheHits	1516
276	5	CacheMisses	2546
277	5	CacheHits	1517
277	5	CacheMisses	2545
278	5	CacheHits	1517
278	5	CacheMisses	2546
279	5	CacheHits	1518
279	5	CacheMisses	2546
280	5	CacheHits	1518
280	5	CacheMisses	2542
281	5	CacheHits	1517
281	5	CacheMisses	2542
282	5	CacheHits	1518
282	5	CacheMisses	2543
283	5	CacheHits	1517
283	5	CacheMisses	2542
284	5	CacheHits	1518
284	5	CacheMisses	2542
285	5	CacheHits	1518
285	5	CacheMisses	2543
286	5	CacheHits	1517
286	5	CacheMisses	2542
287	5	CacheHits	1517
287	5	CacheMisses	2542
288	5	CacheHits	1517
288	5	CacheMisses	2543
289	5	CacheHits	1518
289	5	CacheMisses	2542
290	5	CacheHits	1517
290	5	CacheMisses	2542
291	5	CacheHits	1517
291	5	CacheMisses	2543
292	5	CacheHits	1517
292	5	CacheMisses	2542
293	5	CacheHits	1517
293	5	CacheMisses	2542
294	5	CacheHits	1516
294	5	CacheMisses	2543
295	5	CacheHits	1517
295	5	CacheMisses	2542
296	5	CacheHits	1517
296	5	CacheMisses	2542
297	5	CacheHits	1518
297	5	CacheMisses	2543
298	5	CacheHits	1517
298	5	CacheMisses	2542
299	5	CacheHits	1518
299	5	CacheMisses	2542
300	5	CacheHits	1517
300	5	CacheMisses	2543
301	5	CacheHits	1518
301	5	CacheMisses	2542
302	5	CacheHits	1517
302	5	CacheMisses	2542
303	5	CacheHits	1518
303	5	CacheMisses	2543
304	5	CacheHits	1517
304	5	CacheMisses	2542
305	5	CacheHits	1517
305	5	CacheMisses	2542
306	5	CacheHits	1517
306	5	CacheMisses	2543
307	5	CacheHits	1517
307	5	CacheMisses	2542
308	5	CacheHits	1518
308	5	CacheMisses	2543
309	5	CacheHits	1517
309	5	CacheMisses	2542
310	5	CacheHits	1516
310	5	CacheMisses	2542
311	5	CacheHits	1517
311	5	CacheMisses	2543
312	5	CacheHits	1517
312	5	CacheMisses	2542
313	5	CacheHits	1517
313	5	CacheMisses	2542
314	5	CacheHits	1517
314	5	CacheMisses	2543
315	5	CacheHits	1518
315	5	CacheMisses	2542
316	5	CacheHits	1517
316	5	CacheMisses	2542
317	5	CacheHits	1518
317	5	CacheMisses	2542
318	5	CacheHits	1518
318	5	CacheMisses	2542
319	5	CacheHits	1517
319	5	CacheMisses	2542
320	5	CacheHits	1518
320	5	CacheMisses	2541
321	5	CacheHits	1517
321	5	CacheMisses	2542
322	5	CacheHits	1517
322	5	CacheMisses	2542
323	5	CacheHits	1517
323	5	CacheMisses	2542
324	5	CacheHits	1518
324	5	CacheMisses	2542
325	5	CacheHits	1517
325	5	CacheMisses	2542
326	5	CacheHits	1517
326	5	CacheMisses	2541
327	5	CacheHits	1517
327	5	CacheMisses	2542
328	5	CacheHits	1517
328	5	CacheMisses	2542
329	5	CacheHits	1516
329	5	CacheMisses	2541
330	5	CacheHits	1517
330	5	CacheMisses	2541
331	5	CacheHits	1517
331	5	CacheMisses	2540
332	5	CacheHits	1518
332	5	CacheMisses	2541
333	5	CacheHits	1517
333	5	CacheMisses	2541
334	5	CacheHits	1518
334	5	CacheMisses	2541
335	5	CacheHits	1517
335	5	CacheMisses	2541
336	5	CacheHits	1518
336	5	CacheMisses	2540
337	5	CacheHits	1517
337	5	CacheMisses	2541
338	5	CacheHits	1518
338	5	CacheMisses	2541
339	5	CacheHits	1517
339	5	CacheMisses	2541
340	5	CacheHits	1517
340	5	CacheMisses	2541
341	5	CacheHits	1517
341	5	CacheMisses	2540
342	5	CacheHits	1517
342	5	CacheMisses	2541
343	5	CacheHits	1518
343	5	CacheMisses	2541
344	5	CacheHits	1517
344	5	CacheMisses	2541
345	5	CacheHits	1516
345	5	CacheMisses	2648
346	5	CacheHits	1517
346	5	CacheMisses	2548
347	5	CacheHits	1517
347	5	CacheMisses	2549
348	5	CacheHits	1517
348	5	CacheMisses	2548
349	5	CacheHits	1517
349	5	CacheMisses	2546
350	5	CacheHits	1518
350	5	CacheMisses	2544
351	5	CacheHits	1517
351	5	CacheMisses	2544
352	5	CacheHits	1518
352	5	CacheMisses	2545
353	5	CacheHits	1518
353	5	CacheMisses	2544
354	5	CacheHits	1517
354	5	CacheMisses	2545
355	5	CacheHits	1518
355	5	CacheMisses	2544
356	5	CacheHits	1517
356	5	CacheMisses	2545
357	5	CacheHits	1517
357	5	CacheMisses	2544
358	5	CacheHits	926
358	5	CacheMisses	2676
359	5	CacheHits	0
359	5	CacheMisses	2547
360	5	CacheHits	0
360	5	CacheMisses	2545
361	5	CacheHits	0
361	5	CacheMisses	2546
362	5	CacheHits	0
362	5	CacheMisses	2545
363	5	CacheHits	0
363	5	CacheMisses	2546
364	5	CacheHits	0
364	5	CacheMisses	2546
365	5	CacheHits	0
365	5	CacheMisses	2545
366	5	CacheHits	0
366	5	CacheMisses	2546
367	5	CacheHits	0
367	5	CacheMisses	2545
368	5	CacheHits	0
368	5	CacheMisses	2546
369	5	CacheHits	0
369	5	CacheMisses	2545
370	5	CacheHits	0
370	5	CacheMisses	2546
371	5	CacheHits	0
371	5	CacheMisses	2546
372	5	CacheHits	0
372	5	CacheMisses	2645
373	5	CacheHits	0
373	5	CacheMisses	2547
374	5	CacheHits	0
374	5	CacheMisses	2547
375	5	CacheHits	0
375	5	CacheMisses	2547
376	5	CacheHits	0
376	5	CacheMisses	2546
377	5	CacheHits	0
377	5	CacheMisses	2546
378	5	CacheHits	0
378	5	CacheMisses	2545
379	5	CacheHits	0
379	5	CacheMisses	2546
380	5	CacheHits	0
380	5	CacheMisses	2546
381	5	CacheHits	0
381	5	CacheMisses	2545
382	5	CacheHits	0
382	5	CacheMisses	2546
383	5	CacheHits	0
383	5	CacheMisses	2546
384	5	CacheHits	0
384	5	CacheMisses	2545
385	5	CacheHits	0
385	5	CacheMisses	2546
386	5	CacheHits	1363
386	5	CacheMisses	2290
387	5	CacheHits	897
387	5	CacheMisses	2548
388	5	CacheHits	294
388	5	CacheMisses	2546
389	5	CacheHits	294
389	5	CacheMisses	2545
390	5	CacheHits	294
390	5	CacheMisses	2546
391	5	CacheHits	294
391	5	CacheMisses	2546
392	5	CacheHits	294
392	5	CacheMisses	2545
393	5	CacheHits	294
393	5	CacheMisses	2546
394	5	CacheHits	294
394	5	CacheMisses	2546
395	5	CacheHits	293
395	5	CacheMisses	2544
396	5	CacheHits	292
396	5	CacheMisses	2543
397	5	CacheHits	293
397	5	CacheMisses	2542
398	5	CacheHits	292
398	5	CacheMisses	2543
399	5	CacheHits	294
399	5	CacheMisses	2543
400	5	CacheHits	294
400	5	CacheMisses	2542
401	5	CacheHits	294
401	5	CacheMisses	2542
402	5	CacheHits	294
402	5	CacheMisses	2542
403	5	CacheHits	294
403	5	CacheMisses	2542
404	5	CacheHits	294
404	5	CacheMisses	2542
405	5	CacheHits	294
405	5	CacheMisses	2542
406	5	CacheHits	294
406	5	CacheMisses	2543
407	5	CacheHits	294
407	5	CacheMisses	2542
408	5	CacheHits	294
408	5	CacheMisses	2542
409	5	CacheHits	294
409	5	CacheMisses	2542
410	5	CacheHits	294
410	5	CacheMisses	2542
411	5	CacheHits	294
411	5	CacheMisses	2542
412	5	CacheHits	294
412	5	CacheMisses	2542
413	5	CacheHits	294
413	5	CacheMisses	2543
414	5	CacheHits	293
414	5	CacheMisses	2542
415	5	CacheHits	292
415	5	CacheMisses	2542
416	5	CacheHits	83
416	5	CacheMisses	2548
417	5	CacheHits	0
417	5	CacheMisses	2542
418	5	CacheHits	0
418	5	CacheMisses	2543
419	5	CacheHits	0
419	5	CacheMisses	2542
420	5	CacheHits	0
420	5	CacheMisses	2542
421	5	CacheHits	0
421	5	CacheMisses	2542
422	5	CacheHits	0
422	5	CacheMisses	2543
423	5	CacheHits	0
423	5	CacheMisses	2542
424	5	CacheHits	0
424	5	CacheMisses	2542
425	5	CacheHits	0
425	5	CacheMisses	2542
426	5	CacheHits	0
426	5	CacheMisses	2543
427	5	CacheHits	0
427	5	CacheMisses	2542
428	5	CacheHits	0
428	5	CacheMisses	2542
429	5	CacheHits	0
429	5	CacheMisses	2542
430	5	CacheHits	0
430	5	CacheMisses	2543
431	5	CacheHits	0
431	5	CacheMisses	2542
432	5	CacheHits	0
432	5	CacheMisses	2542
433	5	CacheHits	0
433	5	CacheMisses	2542
434	5	CacheHits	0
434	5	CacheMisses	2543
435	5	CacheHits	0
435	5	CacheMisses	2542
436	5	CacheHits	0
436	5	CacheMisses	2542
437	5	CacheHits	0
437	5	CacheMisses	2542
438	5	CacheHits	0
438	5	CacheMisses	2543
439	5	CacheHits	0
439	5	CacheMisses	2542
440	5	CacheHits	0
440	5	CacheMisses	2542
441	5	CacheHits	0
441	5	CacheMisses	2542
442	5	CacheHits	0
442	5	CacheMisses	2543
443	5	CacheHits	0
443	5	CacheMisses	2542
444	5	CacheHits	0
444	5	CacheMisses	2542
445	5	CacheHits	0
445	5	CacheMisses	2543
446	5	CacheHits	0
446	5	CacheMisses	2542
447	5	CacheHits	0
447	5	CacheMisses	2542
448	5	CacheHits	0
448	5	CacheMisses	2542
449	5	CacheHits	0
449	5	CacheMisses	2543
450	5	CacheHits	0
450	5	CacheMisses	2542
451	5	CacheHits	0
451	5	CacheMisses	2542
452	5	CacheHits	0
452	5	CacheMisses	2643
453	5	CacheHits	0
453	5	CacheMisses	2546
454	5	CacheHits	0
454	5	CacheMisses	2545
455	5	CacheHits	0
455	5	CacheMisses	2545
456	5	CacheHits	0
456	5	CacheMisses	2546
457	5	CacheHits	0
457	5	CacheMisses	2545
458	5	CacheHits	0
458	5	CacheMisses	2542
459	5	CacheHits	0
459	5	CacheMisses	2542
460	5	CacheHits	0
460	5	CacheMisses	2542
461	5	CacheHits	0
461	5	CacheMisses	2542
462	5	CacheHits	0
462	5	CacheMisses	2542
463	5	CacheHits	0
463	5	CacheMisses	2542
464	5	CacheHits	0
464	5	CacheMisses	2642
465	5	CacheHits	0
465	5	CacheMisses	2545
466	5	CacheHits	0
466	5	CacheMisses	2544
467	5	CacheHits	0
467	5	CacheMisses	2544
468	5	CacheHits	0
468	5	CacheMisses	2544
469	5	CacheHits	0
469	5	CacheMisses	2543
470	5	CacheHits	0
470	5	CacheMisses	2544
471	5	CacheHits	0
471	5	CacheMisses	2544
472	5	CacheHits	0
472	5	CacheMisses	2543
473	5	CacheHits	0
473	5	CacheMisses	2544
474	5	CacheHits	0
474	5	CacheMisses	2544
475	5	CacheHits	0
475	5	CacheMisses	2543
476	5	CacheHits	0
476	5	CacheMisses	2544
477	5	CacheHits	0
477	5	CacheMisses	2544
478	5	CacheHits	0
478	5	CacheMisses	2544
479	5	CacheHits	0
479	5	CacheMisses	2543
480	5	CacheHits	0
480	5	CacheMisses	2544
481	5	CacheHits	0
481	5	CacheMisses	2544
482	5	CacheHits	0
482	5	CacheMisses	2543
483	5	CacheHits	0
483	5	CacheMisses	2543
484	5	CacheHits	0
484	5	CacheMisses	2543
485	5	CacheHits	0
485	5	CacheMisses	2542
486	5	CacheHits	0
486	5	CacheMisses	2543
487	5	CacheHits	0
487	5	CacheMisses	2543
488	5	CacheHits	0
488	5	CacheMisses	2543
489	5	CacheHits	0
489	5	CacheMisses	2543
490	5	CacheHits	0
490	5	CacheMisses	2543
491	5	CacheHits	0
491	5	CacheMisses	2542
492	5	CacheHits	0
492	5	CacheMisses	2543
493	5	CacheHits	0
493	5	CacheMisses	2543
494	5	CacheHits	0
494	5	CacheMisses	2543
495	5	CacheHits	0
495	5	CacheMisses	2543
496	5	CacheHits	0
496	5	CacheMisses	2542
497	5	CacheHits	0
497	5	CacheMisses	2543
498	5	CacheHits	0
498	5	CacheMisses	2543
499	5	CacheHits	0
499	5	CacheMisses	2543
500	5	CacheHits	0
500	5	CacheMisses	2543
501	5	CacheHits	0
501	5	CacheMisses	2542
502	5	CacheHits	0
502	5	CacheMisses	2543
503	5	CacheHits	0
503	5	CacheMisses	2543
504	5	CacheHits	0
504	5	CacheMisses	2543
505	5	CacheHits	0
505	5	CacheMisses	2543
506	5	CacheHits	0
506	5	CacheMisses	2543
507	5	CacheHits	0
507	5	CacheMisses	2542
508	5	CacheHits	0
508	5	CacheMisses	2647
509	5	CacheHits	0
509	5	CacheMisses	2548
510	5	CacheHits	0
510	5	CacheMisses	2549
511	5	CacheHits	0
511	5	CacheMisses	2549
512	5	CacheHits	0
512	5	CacheMisses	2548
513	5	CacheHits	0
513	5	CacheMisses	2548
514	5	CacheHits	0
514	5	CacheMisses	2546
515	5	CacheHits	133
515	5	CacheMisses	2455
516	5	CacheHits	2546
516	5	CacheMisses	2112
517	5	CacheHits	2546
517	5	CacheMisses	2136
518	5	CacheHits	2546
518	5	CacheMisses	2123
519	5	CacheHits	2544
519	5	CacheMisses	2135
520	5	CacheHits	2545
520	5	CacheMisses	2127
521	5	CacheHits	2546
521	5	CacheMisses	2130
522	5	CacheHits	1821
522	5	CacheMisses	2470
523	5	CacheHits	1616
523	5	CacheMisses	2546
524	5	CacheHits	1615
524	5	CacheMisses	2545
525	5	CacheHits	1615
525	5	CacheMisses	2546
526	5	CacheHits	1616
526	5	CacheMisses	2546
527	5	CacheHits	1616
527	5	CacheMisses	2545
528	5	CacheHits	1615
528	5	CacheMisses	2546
529	5	CacheHits	1615
529	5	CacheMisses	2545
530	5	CacheHits	1615
530	5	CacheMisses	2546
531	5	CacheHits	1616
